Wall time,Step,Value
1610748366.1195335,2168,-1.1196417808532715
1610748370.2215364,2475,-1.3783187866210938
1610748371.0095317,2537,-1.3234989643096924
1610748371.661536,2587,-1.3380725383758545
1610748400.0185313,4308,-2.247922658920288
1610748402.9135346,4487,-2.2419848442077637
1610748441.894446,6493,-2.8722362518310547
1610748453.6204429,7135,-2.8598482608795166
1610748481.5624404,8712,-3.825840711593628
1610748494.4594395,9464,-4.479621410369873
1610748525.7714374,11261,-5.764181613922119
1610748529.2704375,11469,-5.6207275390625
1610748553.9534385,12906,-7.57257080078125
1610748554.9214354,12967,-7.604715824127197
1610748571.721441,13970,-9.061334609985352
1610748610.8784375,16295,-10.862513542175293
1610748619.00944,16780,-10.82486343383789
1610748641.640442,18117,-12.209390640258789
1610748701.6674395,21641,-14.69390869140625
1610748709.225439,22063,-15.69986343383789
1610748717.3584397,22540,-15.724861145019531
1610748718.0084383,22579,-16.295429229736328
1610748722.9944432,22856,-15.995638847351074
1610748730.3594372,23320,-16.568195343017578
1610748748.25244,24331,-16.451217651367188
1610748773.1674435,25702,-18.472930908203125
1610748781.623438,26148,-19.441326141357422
1610748784.6994426,26323,-19.148500442504883
1610748791.5024395,26728,-19.57222557067871
1610748800.5694416,27254,-19.369178771972656
1610748880.17144,31830,-24.13589859008789
1610748894.8894424,32613,-25.608131408691406
1610748896.4114397,32707,-24.676441192626953
1610748917.2484407,33937,-25.12832260131836
1610748926.8814387,34436,-26.038177490234375
1610748938.7664385,35182,-25.632347106933594
1610748948.4294434,35750,-27.998836517333984
1610748949.0294385,35786,-26.6848201751709
1610748950.1404397,35840,-28.071468353271484
1610748964.1024394,36526,-29.089130401611328
1610748988.2274425,37954,-29.367046356201172
1610749000.498437,38630,-28.59661865234375
1610749000.9514356,38660,-30.17467498779297
1610749019.6554408,39765,-30.696495056152344
1610749021.6734421,39877,-30.789846420288086
1610749037.4394398,40721,-32.57439422607422
1610749039.4034383,40841,-33.696231842041016
1610749082.902442,43272,-33.621856689453125
1610749124.6404443,45640,-33.576744079589844
1610749130.59244,45994,-34.61601257324219
1610749135.3584375,46201,-36.50288391113281
1610749155.5194397,47373,-37.84447479248047
1610749173.8474405,48335,-38.69426727294922
1610749175.239439,48414,-38.96858215332031
1610749199.4084473,49745,-39.163551330566406
1610749209.097439,50182,-40.84697723388672
1610749296.4924424,54907,-44.15630340576172
1610749313.1254408,55863,-44.332847595214844
1610749361.304445,58522,-45.906639099121094
1610749400.5734408,60747,-51.32135009765625
1610749426.163441,62180,-48.342262268066406
1610749430.9874418,62476,-49.33439636230469
1610749461.6964457,64140,-51.256900787353516
1610749488.846439,65672,-50.28662109375
1610749504.63244,66522,-52.02704620361328
1610749524.4654427,67644,-51.286865234375
1610749545.5754397,68788,-52.8950080871582
1610749549.9954379,69022,-56.76725387573242
1610749557.4884424,69441,-54.5374755859375
1610749589.5284405,71186,-57.072662353515625
1610749615.8214464,72657,-58.87814712524414
1610749629.2964413,73429,-58.18085479736328
1610749637.9674401,73907,-57.84690856933594
1610749638.9094405,73958,-55.95738983154297
1610749640.6894386,74013,-55.953887939453125
1610749658.7504373,75010,-59.62175750732422
1610749755.31944,80209,-61.03559875488281
1610749767.4214463,80921,-65.01298522949219
1610749793.2774425,82391,-65.11782836914062
1610749797.1244411,82614,-66.86862182617188
1610749869.405442,86602,-65.19593811035156
1610749878.1194382,87090,-67.30401611328125
1610749909.086443,88781,-71.59346008300781
1610749910.5644393,88866,-71.09168243408203
1610749912.9664443,89009,-71.25284576416016
1610749919.9574401,89394,-70.76067352294922
1610749933.3904426,90138,-67.20034790039062
1610749942.8664408,90675,-69.12635040283203
1610749954.5524378,91348,-69.27484130859375
1610749954.824444,91364,-69.61909484863281
1610749965.6014433,91974,-74.79247283935547
1610749971.3714437,92238,-75.18260955810547
1610749995.7334447,93648,-77.97219848632812
1610750004.8644423,94121,-75.69029235839844
1610750029.0344405,95472,-75.14775085449219
1610750036.9374402,95902,-77.71387481689453
1610750064.069443,97378,-79.39183044433594
1610750066.1244378,97481,-73.1597671508789
1610750081.1694403,98302,-78.93199157714844
1610750122.1674385,100475,-79.7919921875
1610750147.8564405,101885,-79.56770324707031
1610750166.2254426,102859,-80.35806274414062
1610750174.9314392,103336,-80.66986846923828
1610750185.8704402,103944,-84.530029296875
1610750207.0574384,105002,-80.49264526367188
1610750231.1414428,106335,-83.31228637695312
1610750240.4644392,106897,-84.1849594116211
1610750240.9504402,106925,-84.04049682617188
1610750256.2774417,107775,-84.9669418334961
1610750294.3804371,109838,-84.54396057128906
1610750309.193438,110587,-84.9959487915039
1610750359.0454462,113324,-91.94578552246094
1610750365.5734406,113699,-91.30995178222656
1610750387.0374415,114903,-87.23873138427734
1610750427.8434458,117097,-92.3193359375
1610750435.5604396,117519,-92.06074523925781
1610750458.2034388,118712,-88.64128112792969
1610750464.0014434,119048,-94.69677734375
1610750474.1754391,119636,-94.7208023071289
1610750485.254442,120191,-91.09220123291016
1610750541.4624403,123193,-105.74848937988281
1610750544.2094383,123333,-95.17958068847656
1610750545.5694432,123404,-96.99922943115234
1610750553.4404402,123836,-97.0582275390625
1610750561.2554398,124206,-99.8677978515625
1610750568.8084397,124635,-101.00372314453125
1610750617.44744,127291,-96.19489288330078
1610750707.8384414,132072,-103.27568054199219
1610750736.25144,133681,-109.60469818115234
1610750739.6634414,133877,-110.53469848632812
1610750788.4664397,136377,-109.69952392578125
1610750788.731444,136390,-113.08236694335938
1610750790.2214375,136475,-105.98997497558594
1610750796.8374407,136878,-112.78861236572266
1610750809.7104416,137616,-109.37437438964844
1610750831.1204398,138674,-113.43695068359375
1610750831.216438,138679,-116.78892517089844
1610750837.6294403,139056,-117.65841674804688
1610750882.7734413,141404,-116.4756851196289
1610750883.608438,141450,-117.99555206298828
1610750892.7624426,141976,-118.43545532226562
1610750895.923445,142056,-115.51466369628906
1610750908.6414406,142751,-118.88334655761719
1610750912.7184381,142990,-120.86257934570312
1610750916.8914397,143223,-120.05233001708984
1610750950.0524383,144893,-125.35065460205078
1610750975.205441,146227,-122.12939453125
1610750976.1414428,146286,-127.89678192138672
1610751013.4224393,148313,-118.74948120117188
1610751020.617441,148697,-128.8660430908203
1610751034.4264417,149492,-129.76577758789062
1610751056.8004446,150674,-119.95088195800781
1610751095.721442,152759,-127.95882415771484
1610751097.4804406,152864,-130.8393096923828
1610751100.910443,153043,-123.14656066894531
1610751104.9554405,153277,-127.18730926513672
1610751134.776438,154767,-129.68276977539062
1610751180.3694623,157190,-134.59349060058594
1610751208.734464,158653,-140.02871704101562
1610751216.994463,159131,-143.04708862304688
1610751225.9924605,159624,-140.43548583984375
1610751275.092471,162253,-134.76470947265625
1610751323.3454597,164790,-141.2369384765625
1610751332.3934586,165297,-136.22610473632812
1610751356.2574632,166623,-144.59344482421875
1610751371.149464,167464,-153.286865234375
1610751373.511462,167598,-146.789306640625
1610751377.497467,167801,-138.8013458251953
1610751404.250461,169235,-153.01217651367188
1610751406.9964638,169397,-146.82766723632812
1610751411.3614645,169645,-146.97210693359375
1610751444.835462,171324,-148.00250244140625
1610751456.8614607,171964,-145.60104370117188
1610751462.5944645,172189,-152.13763427734375
1610751492.3554614,173660,-150.84861755371094
1610751492.5634701,173670,-151.33987426757812
1610751519.101465,174973,-152.42898559570312
1610751521.5204618,175094,-149.70870971679688
1610751530.268463,175557,-143.8992919921875
