Wall time,Step,Value
1610748377.4685333,2168,-1.0491745471954346
1610748382.7205324,2475,-1.2870723009109497
1610748383.9345372,2537,-1.2053253650665283
1610748384.6625311,2587,-1.1436388492584229
1610748416.849441,4308,-1.727312445640564
1610748420.1034377,4487,-1.778049111366272
1610748457.7044387,6493,-2.5052695274353027
1610748468.709439,7135,-2.27363657951355
1610748496.8774388,8712,-2.2249648571014404
1610748509.5234413,9464,-1.9614593982696533
1610748540.2664402,11261,-3.6225686073303223
1610748543.7234404,11469,-3.7686634063720703
1610748567.8314416,12906,-4.754366397857666
1610748569.0024443,12967,-5.284674644470215
1610748585.1194427,13970,-6.170285224914551
1610748623.4524426,16295,-9.309919357299805
1610748631.0714421,16780,-8.363103866577148
1610748655.2084405,18117,-10.214107513427734
1610748712.8134422,21641,-12.139245986938477
1610748721.4624398,22063,-12.44113826751709
1610748729.710439,22540,-13.626262664794922
1610748730.2654402,22579,-12.893632888793945
1610748735.1944382,22856,-13.76187515258789
1610748743.3024385,23320,-14.282552719116211
1610748761.863437,24331,-14.860337257385254
1610748786.1984394,25702,-15.79308032989502
1610748793.872437,26148,-15.713516235351562
1610748796.8714383,26323,-15.758003234863281
1610748803.3804414,26728,-17.12502670288086
1610748812.5064406,27254,-18.03858184814453
1610748891.5834398,31830,-20.194236755371094
1610748905.976443,32613,-21.441131591796875
1610748907.663445,32707,-19.551578521728516
1610748928.1344397,33937,-21.39878273010254
1610748936.9234412,34436,-22.026065826416016
1610748950.0284417,35182,-24.29923439025879
1610748960.346439,35750,-23.081295013427734
1610748961.0304425,35786,-21.833507537841797
1610748962.1074374,35840,-24.06646728515625
1610748974.8774405,36526,-25.21206283569336
1610748999.11444,37954,-23.38924789428711
1610749011.716444,38630,-25.97079849243164
1610749012.4214437,38660,-24.662166595458984
1610749031.1394403,39765,-25.826618194580078
1610749033.3304403,39877,-24.989688873291016
1610749047.9424398,40721,-27.649442672729492
1610749049.7164395,40841,-25.89105224609375
1610749092.4934418,43272,-28.71648597717285
1610749134.183438,45640,-30.29900360107422
1610749140.3684382,45994,-30.206146240234375
1610749145.3144424,46201,-30.07171630859375
1610749165.117439,47373,-30.013179779052734
1610749183.041438,48335,-29.934471130371094
1610749184.2394474,48414,-30.84493637084961
1610749209.4964385,49745,-32.40757751464844
1610749219.4064395,50182,-33.41520690917969
1610749305.98844,54907,-36.21910095214844
1610749323.3464444,55863,-34.70464324951172
1610749371.627438,58522,-38.406951904296875
1610749411.3044443,60747,-41.046321868896484
1610749437.5654404,62180,-39.7607421875
1610749443.0034428,62476,-38.817115783691406
1610749473.329442,64140,-42.24922561645508
1610749499.4994435,65672,-42.13882064819336
1610749515.202441,66522,-44.16547393798828
1610749535.893441,67644,-42.73981475830078
1610749556.449444,68788,-43.695125579833984
1610749560.3734412,69022,-42.05888366699219
1610749567.5004394,69441,-42.13910675048828
1610749599.9684439,71186,-45.136207580566406
1610749626.5644436,72657,-47.12841796875
1610749640.317438,73429,-47.14280700683594
1610749648.9094415,73907,-46.04695510864258
1610749649.9024432,73958,-48.21480178833008
1610749651.9164386,74013,-49.060733795166016
1610749670.5904398,75010,-51.084388732910156
1610749764.55344,80209,-52.54574966430664
1610749776.252442,80921,-49.63243865966797
1610749802.3024437,82391,-54.09469985961914
1610749806.1104395,82614,-52.541282653808594
1610749876.7624402,86602,-52.55809020996094
1610749885.783437,87090,-57.27383804321289
1610749915.4024403,88781,-56.066162109375
1610749916.7194412,88866,-54.885311126708984
1610749919.2994373,89009,-54.98454666137695
1610749925.8054392,89394,-58.12275695800781
1610749940.1164427,90138,-56.887115478515625
1610749949.825439,90675,-57.44263458251953
1610749962.214438,91348,-57.226402282714844
1610749962.5224378,91364,-57.74791717529297
1610749974.1264403,91974,-60.997196197509766
1610749979.3254414,92238,-59.3621711730957
1610750003.8654432,93648,-59.637413024902344
1610750013.1664412,94121,-57.309356689453125
1610750037.471443,95472,-58.84137725830078
1610750044.828443,95902,-60.671875
1610750070.8694382,97378,-62.809326171875
1610750072.5444376,97481,-57.60149383544922
1610750087.590437,98302,-62.77549743652344
1610750127.628441,100475,-63.924564361572266
1610750153.2674406,101885,-70.49333190917969
1610750171.2464442,102859,-62.025840759277344
1610750179.868441,103336,-65.86320495605469
1610750191.3274422,103944,-69.05650329589844
1610750211.151443,105002,-67.49580383300781
1610750235.5364387,106335,-69.84375762939453
1610750244.784437,106897,-68.39813232421875
1610750245.2294424,106925,-68.65948486328125
1610750259.8744404,107775,-69.90034484863281
1610750299.1944401,109838,-67.29417419433594
1610750313.5424385,110587,-70.75796508789062
1610750363.1724389,113324,-69.4742431640625
1610750369.6544397,113699,-71.80914306640625
1610750390.862441,114903,-74.74637603759766
1610750431.764443,117097,-74.54971313476562
1610750439.7544444,117519,-74.009033203125
1610750462.0064366,118712,-74.95797729492188
1610750467.6674416,119048,-73.64913940429688
1610750477.5524397,119636,-74.75469970703125
1610750488.009438,120191,-75.78974914550781
1610750543.3024392,123193,-77.41239166259766
1610750546.0364442,123333,-77.79216003417969
1610750547.15844,123404,-78.34300994873047
1610750554.8784432,123836,-82.6984634399414
1610750562.186442,124206,-77.21443939208984
1610750569.5904381,124635,-80.19286346435547
1610750617.0204437,127291,-79.0775146484375
1610750705.1314409,132072,-83.12581634521484
1610750734.3494387,133681,-87.54884338378906
1610750737.7474384,133877,-78.97311401367188
1610750785.285443,136377,-87.06871032714844
1610750785.5294423,136390,-86.70142364501953
1610750786.9894423,136475,-87.34712219238281
1610750794.1944416,136878,-87.1393814086914
1610750807.406442,137616,-86.25437927246094
1610750827.6084437,138674,-88.00965881347656
1610750827.6744397,138679,-85.58155822753906
1610750834.2564375,139056,-84.66913604736328
1610750877.602441,141404,-87.33720397949219
1610750878.4784443,141450,-91.27798461914062
1610750887.9024408,141976,-89.14706420898438
1610750890.5184383,142056,-87.41647338867188
1610750902.93744,142751,-88.61663818359375
1610750907.1024394,142990,-86.81256103515625
1610750911.1864412,143223,-92.96206665039062
1610750942.104445,144893,-91.77278900146484
1610750967.0084407,146227,-94.89772033691406
1610750968.1894412,146286,-90.82435607910156
1610751004.6834428,148313,-97.11116027832031
1610751011.5074432,148697,-97.35203552246094
1610751025.8744416,149492,-95.71797180175781
1610751048.6054432,150674,-95.73348999023438
1610751086.703447,152759,-93.61117553710938
1610751088.7684417,152864,-96.00816345214844
1610751091.77144,153043,-96.76102447509766
1610751096.061444,153277,-100.59349060058594
1610751125.108444,154767,-97.6363525390625
1610751169.738464,157190,-102.72724914550781
1610751196.9664652,158653,-100.66218566894531
1610751205.5074623,159131,-102.51214599609375
1610751214.547466,159624,-99.54147338867188
1610751263.7624617,162253,-101.75762939453125
1610751310.118461,164790,-103.43282318115234
1610751319.353465,165297,-108.17489624023438
1610751343.7664633,166623,-101.79302978515625
1610751358.5464642,167464,-106.70779418945312
1610751360.9484599,167598,-104.02664184570312
1610751364.3014688,167801,-99.87826538085938
1610751390.4924643,169235,-106.06941986083984
1610751393.0894628,169397,-107.96760559082031
1610751397.2684655,169645,-110.01939392089844
1610751428.4414637,171324,-107.51747131347656
1610751441.4964626,171964,-108.81797790527344
1610751447.4404635,172189,-106.62042236328125
1610751477.3804626,173660,-110.63751220703125
1610751477.6524608,173670,-105.3957748413086
1610751505.1934621,174973,-110.8912353515625
1610751507.3624635,175094,-109.14317321777344
1610751516.5764613,175557,-107.86805725097656
1610751538.3704598,176648,-109.99652099609375
1610751592.8644607,179778,-109.10307312011719
1610751600.9794652,180193,-113.09701538085938
1610751608.6074593,180662,-108.44325256347656
1610751609.3094614,180702,-115.51547241210938
1610751617.9044626,181197,-118.12252044677734
1610751638.3144615,182316,-113.66850280761719
1610751650.9964633,183050,-113.32759857177734
1610751652.0934627,183109,-119.46855163574219
1610751669.4604645,184088,-119.46406555175781
1610751684.0514672,184950,-115.84246063232422
1610751689.7154677,185272,-113.10299682617188
1610751695.1214652,185599,-118.74935913085938
1610751721.2834628,187059,-112.44134521484375
1610751743.8894627,188233,-123.01220703125
1610751759.0414653,189091,-114.51959991455078
1610751759.8294616,189141,-118.49366760253906
1610751773.2624662,189944,-116.17623138427734
1610751798.344462,191323,-118.74342346191406
1610751816.1884634,192339,-117.69711303710938
1610751850.4744692,194216,-121.2425537109375
1610751904.7154646,197298,-125.23761749267578
1610751906.4414656,197401,-128.24307250976562
1610751910.0124643,197620,-116.46902465820312
