Wall time,Step,Value
1611051010.043707,3900,-1.9846599102020264
1611051055.836709,4500,-2.540825843811035
1611051182.2597091,6100,-4.836058616638184
1611051198.4927065,6300,-5.321506500244141
1611051222.933708,6600,-6.193164825439453
1611051319.038469,7700,-7.428552627563477
1611051461.1844685,9200,-10.134260177612305
1611051489.3984673,9500,-9.7416410446167
1611051645.345567,11500,-13.717130661010742
1611051742.7361054,12700,-17.060453414916992
1611051940.9262986,14700,-21.112659454345703
1611052215.146262,17600,-26.033489227294922
1611052244.3882565,17900,-26.478160858154297
1611052313.090258,18800,-27.309032440185547
1611052452.4263873,20400,-30.509021759033203
1611052477.5980759,20600,-30.301942825317383
1611052899.4991474,25000,-41.134368896484375
1611052956.4345481,25500,-40.17704772949219
1611053119.8378105,27000,-44.44353485107422
1611053170.8204908,27600,-48.03369140625
1611053224.211559,28100,-48.148468017578125
1611053292.6615555,28800,-50.458614349365234
1611053349.2375548,29400,-50.35028839111328
1611053696.949984,32900,-57.50541687011719
1611053716.9249866,33100,-59.208560943603516
1611053794.0126376,33900,-57.96917724609375
1611053995.101194,36000,-64.89740753173828
1611054067.0301936,36800,-64.54251098632812
1611054262.498255,38800,-65.11039733886719
1611054796.3235037,44200,-77.57957458496094
1611054803.4445071,44300,-76.22543334960938
1611054929.1851351,46000,-81.59575653076172
1611054956.9607024,46300,-79.87789916992188
1611054979.37434,46600,-82.42465209960938
1611055095.2543402,48100,-84.65713500976562
1611055117.64834,48400,-85.14508819580078
1611055125.164343,48500,-83.18230438232422
1611055201.0743406,49500,-86.3638916015625
1611055351.7753432,51400,-87.70658111572266
1611055515.839344,53500,-89.04318237304688
1611055660.1533964,55200,-93.42214965820312
1611055708.608003,55700,-92.33026123046875
1611055947.1755295,58400,-95.54326629638672
1611056027.3325353,59400,-98.3919448852539
1611056070.562534,60000,-98.30406188964844
1611056129.7935338,60700,-102.01077270507812
1611056138.784123,60800,-98.94479370117188
1611056413.9828165,64100,-105.16276550292969
1611056429.069342,64300,-105.1906967163086
1611056528.1105278,65500,-103.26731872558594
1611056604.7161877,66200,-106.00919342041016
1611056612.122186,66300,-103.21294403076172
1611056628.520187,66500,-107.9736328125
1611056651.9971914,66800,-103.87238311767578
1611056666.696189,67000,-104.06182861328125
1611056762.6561906,68200,-103.42242431640625
1611056841.2911925,69200,-105.8840103149414
1611057224.5784452,73500,-112.2978744506836
1611057311.135623,74300,-108.84504699707031
1611057389.86659,75100,-109.7635498046875
1611057457.474589,76000,-111.69461059570312
1611057542.7745893,77300,-116.05892944335938
1611057572.3465886,77700,-116.10369873046875
1611057634.9525883,78600,-116.77297973632812
1611057661.7915885,79000,-116.23344421386719
1611057675.3905897,79200,-118.77039337158203
1611057689.4415884,79400,-115.07779693603516
1611057739.9575877,80100,-118.20903015136719
1611057773.1255908,80600,-114.45442199707031
1611057785.8105888,80800,-120.01034545898438
1611057819.211588,81300,-123.60281372070312
1611057832.4705899,81500,-118.65385437011719
1611057862.1365879,81900,-117.30992126464844
1611057892.6995924,82300,-121.45287322998047
1611057931.7465892,82900,-120.71123504638672
1611057938.3465893,83000,-124.66580963134766
1611058087.9765875,85300,-127.18757629394531
1611058112.824591,85700,-129.61737060546875
1611058350.297594,89000,-135.36187744140625
1611058396.6875882,89700,-141.64622497558594
1611058439.5825884,90300,-141.91880798339844
1611058531.0705888,91700,-141.9097900390625
1611058562.2055883,92100,-143.37765502929688
1611058607.4465885,92800,-142.1393280029297
1611058620.9945877,93000,-142.43777465820312
1611058672.8615894,93800,-146.3474578857422
1611058783.8097053,95200,-145.83535766601562
1611058790.9607055,95300,-140.933349609375
1611058864.0537052,96300,-144.81382751464844
1611058883.1617055,96600,-148.29498291015625
1611058940.055705,97500,-148.9793243408203
1611059001.4037054,98300,-148.5324249267578
1611059060.755706,99200,-151.74850463867188
1611059066.6097083,99300,-147.4423065185547
1611059106.3327053,99900,-151.18850708007812
1611059112.8927057,100000,-151.2528076171875
1611059151.398705,100500,-148.5172576904297
1611059268.2617257,102300,-151.4392547607422
1611059288.8947072,102600,-148.52749633789062
1611059349.6227105,103500,-157.93408203125
1611059555.4217067,106500,-151.3314208984375
1611059641.8487046,107800,-156.65863037109375
1611059682.0507073,108400,-147.80734252929688
1611059701.9067059,108700,-150.62779235839844
1611059714.8047028,108900,-154.3018341064453
1611059741.086706,109300,-154.3050537109375
