Wall time,Step,Value
1611047681.7146044,1900,0.04785219579935074
1611047714.2646058,2500,0.1018524169921875
1611047811.7246077,4100,0.07269759476184845
1611047822.8986053,4300,0.09720093011856079
1611047840.6546028,4600,0.15968945622444153
1611047909.6506321,5700,0.09720972180366516
1611048000.6587381,7200,0.14321781694889069
1611048019.0887394,7500,0.14190572500228882
1611048141.4847405,9500,0.07729452103376389
1611048218.6647477,10700,0.10360313951969147
1611048337.1698039,12700,0.05133828520774841
1611048516.6328056,15600,0.08679387718439102
1611048534.732801,15900,0.12116876244544983
1611048588.645802,16800,0.07796309888362885
1611048685.9258049,18400,0.035311438143253326
1611048698.1508043,18600,0.09875508397817612
1611048964.587049,23000,0.0824168473482132
1611048994.3910508,23500,0.04202127829194069
1611049095.452571,25000,0.04126287251710892
1611049136.3105698,25600,0.042206790298223495
1611049173.5215678,26100,0.10994024574756622
1611049223.9955719,26800,0.047793228179216385
1611049261.5965726,27400,0.09045437723398209
1611049469.4263124,30900,0.04633592814207077
1611049481.4973125,31100,0.02623574435710907
1611049530.123317,31900,0.03630934655666351
1611049659.5913153,34000,0.016168788075447083
1611049705.8063164,34800,0.04928208142518997
1611049823.4963124,36800,0.039343032985925674
1611050228.1558418,42200,0.005085535813122988
1611050234.6068413,42300,0.04371413215994835
1611050336.1098478,44000,0.033836729824543
1611050371.3748415,44300,0.03148707002401352
1611050391.2028544,44600,0.03686406463384628
1611050489.881652,46100,0.010511612519621849
1611050510.0346541,46400,0.0625518262386322
1611050516.3286517,46500,0.016425618901848793
1611050581.5120745,47500,0.027049627155065536
1611050725.4586003,49400,0.0421341210603714
1611050893.1337194,51500,0.03355855867266655
1611051031.5997083,53200,0.03038104437291622
1611051069.570708,53700,0.023213056847453117
1611051296.1814666,56400,0.012673255056142807
1611051385.2644742,57400,0.02390952594578266
1611051439.881469,58000,0.017538689076900482
1611051506.7214684,58700,0.014218769036233425
1611051514.8614655,58800,0.024866629391908646
1611051796.3471775,62100,0.032749906182289124
1611051816.054178,62300,0.0063530923798680305
1611051933.1763,63500,0.015062825754284859
1611052000.1633,64200,0.06372611969709396
1611052008.6693022,64300,0.017967674881219864
1611052026.081301,64500,0.027817167341709137
1611052051.7171302,64800,0.019858013838529587
1611052069.9411354,65000,0.0402427613735199
1611052202.6942616,66200,0.016141077503561974
1611052289.0092561,67200,0.003145716618746519
1611052711.6114564,71500,0.017795411869883537
1611052784.526454,72300,0.004621881991624832
1611052845.181046,73100,0.07975070178508759
1611052931.1927493,74000,0.053657762706279755
1611053076.9408138,75300,0.031651176512241364
1611053113.6988108,75700,0.011371878907084465
1611053195.6505594,76600,0.013930615037679672
1611053232.8555589,77000,0.033229928463697433
1611053251.8505619,77200,0.007209425792098045
1611053272.7095604,77400,0.009232394397258759
1611053342.820556,78100,0.013640470802783966
1611053391.8470821,78600,0.005905333906412125
1611053406.9091122,78800,0.021893559023737907
1611053447.131659,79300,0.005214807577431202
1611053463.4716613,79500,0.025797590613365173
1611053501.41766,79900,0.013941485434770584
1611053551.338335,80300,0.06391774117946625
1611053615.6404579,80900,0.018744170665740967
1611053624.3444602,81000,0.03298095613718033
1611053851.280954,83300,0.03850019350647926
1611053890.514544,83700,0.01594856008887291
1611054191.874196,87000,0.046817898750305176
1611054262.5272577,87700,0.008158419281244278
1611054324.3478456,88300,0.014616930857300758
1611054437.9073665,89700,0.043061770498752594
1611054483.8724208,90100,0.024217095226049423
1611054563.2365706,90800,0.003929894417524338
1611054586.797625,91000,0.007238244637846947
1611054675.5264385,91800,0.00913047231733799
1611054804.324506,93200,0.011464623734354973
1611054811.6885056,93300,0.01607365906238556
1611054889.1225019,94300,0.014072809368371964
1611054910.303029,94600,0.010273460298776627
1611054979.4403405,95500,0.0370531789958477
1611055040.493341,96300,0.010226127691566944
1611055107.2773418,97200,0.009129522368311882
1611055115.2623398,97300,0.026508929207921028
1611055160.1683414,97900,0.0184602290391922
1611055167.3813393,98000,0.009995403699576855
1611055209.0763445,98500,0.012169349938631058
1611055352.0933397,100300,0.019462034106254578
