Wall time,Step,Value
1610925619.0105956,3900,-2.245911121368408
1610925660.6392157,4500,-2.91109037399292
1610925758.5482166,6100,-4.767521858215332
1610925770.10922,6300,-4.644076347351074
1610925787.1732178,6600,-5.151391506195068
1610925846.3452172,7700,-6.909773826599121
1610925924.579217,9200,-9.6845121383667
1610925940.6702135,9500,-10.082374572753906
1610926046.3222153,11500,-13.858221054077148
1610926107.8702173,12700,-15.96296501159668
1610926214.178216,14700,-19.726417541503906
1610926369.7932224,17600,-26.123031616210938
1610926384.2862163,17900,-25.896238327026367
1610926432.1842165,18800,-29.035139083862305
1610926518.7712157,20400,-31.49651336669922
1610926529.975216,20600,-31.731639862060547
1610926761.9692197,25000,-40.50691223144531
1610926788.4662144,25500,-40.90785598754883
1610926868.881218,27000,-45.4780158996582
1610926901.0432177,27600,-44.75181579589844
1610926927.8732216,28100,-46.74150848388672
1610926962.8872154,28800,-47.713966369628906
1610926993.6392183,29400,-49.61250305175781
1610927179.4012187,32900,-52.18012237548828
1610927189.694216,33100,-55.21448516845703
1610927232.4682176,33900,-54.918697357177734
1610927358.2812207,36000,-60.17425537109375
1610927404.748218,36800,-61.77016830444336
1610927510.030216,38800,-68.00718688964844
1610927798.8752146,44200,-82.52020263671875
1610927804.4522147,44300,-81.37001037597656
1610927893.9922147,46000,-87.02143859863281
1610927910.772215,46300,-88.84603118896484
1610927926.2282162,46600,-87.15229797363281
1610928010.644219,48100,-91.59649658203125
1610928026.47022,48400,-89.38131713867188
1610928031.2702167,48500,-90.94383239746094
1610928084.9622157,49500,-94.16830444335938
1610928187.3102148,51400,-95.69032287597656
1610928301.0692158,53500,-105.85462951660156
1610928392.2422225,55200,-108.17227935791016
1610928418.2242155,55700,-109.37712097167969
1610928567.6042175,58400,-114.50759887695312
1610928623.0682213,59400,-119.3692626953125
1610928654.8242204,60000,-121.92814636230469
1610928696.112215,60700,-120.6155014038086
1610928701.8322139,60800,-120.71162414550781
1610928876.7252212,64100,-125.65437316894531
1610928887.249218,64300,-130.4801025390625
