Wall time,Step,Value
1610925487.1845946,1900,0.015642542392015457
1610925526.1095934,2500,0.018209446221590042
1610925634.4295964,4100,0.010160930454730988
1610925647.518218,4300,0.029603585600852966
1610925667.8092165,4600,0.012315251864492893
1610925732.8462176,5700,0.009584997780621052
1610925820.0022142,7200,0.011008967645466328
1610925836.121214,7500,0.00509850075468421
1610925940.625214,9500,0.01300522219389677
1610926003.157216,10700,0.011151584796607494
1610926107.841215,12700,0.009430443868041039
1610926261.051216,15600,0.020116006955504417
1610926276.6912174,15900,0.007529355585575104
1610926327.453217,16800,0.007439388893544674
1610926411.2062178,18400,0.011008133180439472
1610926421.1972165,18600,0.012767231091856956
1610926655.8502185,23000,0.005567014217376709
1610926681.5582209,23500,0.0035839565098285675
1610926761.9402235,25000,0.00563482940196991
1610926793.4572237,25600,0.00438943924382329
1610926821.0562155,26100,0.009227363392710686
1610926857.9172196,26800,0.006933017633855343
1610926889.635217,27400,0.005945216864347458
1610927071.9532158,30900,0.005055463407188654
1610927081.8642154,31100,0.00398521963506937
1610927124.9342163,31900,0.0052724299021065235
1610927237.552216,34000,0.004608056973665953
1610927294.0992198,34800,0.005461073946207762
1610927404.7092192,36800,0.004330707248300314
1610927696.4782157,42200,0.005582917481660843
1610927702.1202178,42300,0.006269600708037615
1610927787.3582184,44000,0.0059655108489096165
1610927804.4172156,44300,0.006886913441121578
1610927819.823216,44600,0.0056021325290203094
1610927900.7562149,46100,0.007637367583811283
1610927915.8792164,46400,0.009257042780518532
1610927920.943218,46500,0.00602309824898839
1610927974.2422163,47500,0.006012415513396263
1610928079.4502156,49400,0.005201742053031921
1610928192.0762186,51500,0.004716168157756329
1610928284.7422178,53200,0.004706250969320536
1610928312.173219,53700,0.007739035412669182
1610928458.8012214,56400,0.003837649244815111
1610928512.0702157,57400,0.005384762305766344
1610928543.7022145,58000,0.007692498620599508
1610928583.6002145,58700,0.007189424242824316
1610928589.2142184,58800,0.005335218273103237
1610928769.305217,62100,0.0056428140960633755
1610928780.041219,62300,0.006682848557829857
1610928842.569215,63500,0.005603262223303318
1610928881.6842182,64200,0.005079719237983227
1610928887.208217,64300,0.00623006746172905
1610928897.7482154,64500,0.005012477282434702
1610928915.0752187,64800,0.007162831258028746
1610928926.0802143,65000,0.0043031275272369385
1610928991.9592237,66200,0.009309863671660423
1610929044.1472156,67200,0.005189975257962942
1610929283.469217,71500,0.003644094569608569
1610929327.0552166,72300,0.004916347563266754
1610929368.3062165,73100,0.0038893718738108873
1610929416.4542143,74000,0.005008752457797527
1610929488.162217,75300,0.004597523249685764
1610929509.9382167,75700,0.0037590116262435913
